"基本数量ＩＤ","数量タイプ","単位","総数量","１Ｆ","２Ｆ","３Ｆ","Ｂ１Ｆ","Ｂ２Ｆ"
"タイルＬＩＸＩＬストーンコレクション＋アクセントボーダータイル巻込み開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬストーンコレクションタイル巻込み開口高さ","実数","Ｍ","0","","","","",""
"タイル５０二丁タイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬサイモンタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬパストラーノタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬルミノスタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルＬＩＸＩＬ寂雅楽Ⅱタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテック５０二丁タイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＥＸタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧＴタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
"タイルキラテックＨＧタイル巻込み（シャッター・側面竪格子）開口高さ","実数","Ｍ","0","","","","",""
