部材ｺｰﾄﾞ,部材名,摘要,単位,数量,仕入値,売単価,価格3,価格4,部材符号,備考,調整値,小計ﾌﾗｸﾞ,端数処理,端数有効桁,工事種別,部屋区分,区分3,発注先区分,区分5,部材種類,明細表示ﾓｰﾄﾞ,合算名称,明細属性,構成ｺｰﾄﾞ,区分2補助,表示優先度,利益率,階層,区画ﾕﾆｰｸID,設備別区分
HSS79FX1-04548060,W045-T48K06埋込FIX窓 (ｱﾙﾐ樹脂複合S),,セット,1,11100,14420,,,,,,,切り上げ,0.1,1,吹抜,24,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
HSS79FX1-04548060,W045-T48K06埋込FIX窓 (ｱﾙﾐ樹脂複合S),,セット,1,11100,14420,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
HSS79FX1-04548060,W045-T48K06埋込FIX窓 (ｱﾙﾐ樹脂複合S),,セット,1,11100,14420,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
HSS79TS1-04548240,W045-T48K24埋込竪スベリ出し窓 (ｱﾙﾐ樹脂複合S),,セット,1,25200,32730,,,,,,,切り上げ,0.1,1,洋室,18,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
HSS79TS1-04548270,W045-T48K27埋込竪スベリ出し窓 (ｱﾙﾐ樹脂複合S),,セット,1,25200,32730,,,,,,,切り上げ,0.1,1,洋室,16,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
HSS79HK3-18048240,W180-T48K24引違窓3枚建 (ｱﾙﾐ樹脂複合S),,セット,1,41400,53770,,,,,,,切り上げ,0.1,1,洋室,18,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.8,8520,11070,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.5,8520,11070,,,,,,,切り上げ,0.1,1,洋室,18,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.4,8520,11070,,,,,,,切り上げ,0.1,1,洋室,16,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.3,8520,11070,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.8,8520,11070,,,,,,,切り上げ,0.1,1,吹抜,24,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.8,8520,11070,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79016,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱型板（日射遮蔽型）A16,,㎡,0.6,8520,11070,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79014,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱透明（日射遮蔽型）A16,,㎡,1.6,8520,11070,,,,,,,切り上げ,0.1,1,洋室,19,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79014,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱透明（日射遮蔽型）A16,,㎡,1.6,8520,11070,,,,,,,切り上げ,0.1,1,洋室,16,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
GLASSHS79014,ｱﾙｺﾞﾝｶﾞｽ封入Low-E複層　高断熱透明（日射遮蔽型）A16,,㎡,2,8520,11070,,,,,,,切り上げ,0.1,1,洋室,18,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
G000HSF341010,開口用網戸Ｐ当り,,Ｐ,2,1700,2210,,,,,,,切り上げ,0.1,1,洋室,18,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
G000HSF341010,開口用網戸Ｐ当り,,Ｐ,2,1700,2210,,,,,,,切り上げ,0.1,1,洋室,19,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
G000HSF341010,開口用網戸Ｐ当り,,Ｐ,2,1700,2210,,,,,,,切り上げ,0.1,1,洋室,16,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF430010,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1490,1940,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF430010,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1490,1940,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF201002,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1720,2240,,,,,,,切り上げ,0.1,1,洋室,18,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF430010,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1490,1940,,,,,,,切り上げ,0.1,1,吹抜,24,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF201002,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1720,2240,,,,,,,切り上げ,0.1,1,洋室,16,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF430010,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1490,1940,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
U000HSF430010,埋込窓（単窓、段窓、横スベリ２連窓）工場取付,,ケ所,1,1490,1940,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,15,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06CAB0240,開口三方クロス仕上下地取付,,ケ所,1,1060,1380,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06CAB0240,開口三方クロス仕上下地取付,,ケ所,1,1060,1380,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06CAB0240,開口三方クロス仕上下地取付,,ケ所,1,1060,1380,,,,,,,切り上げ,0.1,2,吹抜,24,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06CAB0240,開口三方クロス仕上下地取付,,ケ所,1,1060,1380,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06CAB0240,開口三方クロス仕上下地取付,,ケ所,1,1060,1380,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K14CA0026,額縁三方クロス巻,,ケ所,1,1020,1330,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K14CA0026,額縁三方クロス巻,,ケ所,1,1020,1330,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K14CA0026,額縁三方クロス巻,,ケ所,1,1020,1330,,,,,,,切り上げ,0.1,2,吹抜,24,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K14CA0026,額縁三方クロス巻,,ケ所,1,1020,1330,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K14CA0026,額縁三方クロス巻,,ケ所,1,1020,1330,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,15,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
KV05S011,硝子障子建て込み,,ケ所,1,420,550,,,,,,,切り上げ,0.1,2,洋室,18,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
KV05S011,硝子障子建て込み,,ケ所,1,420,550,,,,,,,切り上げ,0.1,2,洋室,19,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
KV05S011,硝子障子建て込み,,ケ所,1,420,550,,,,,,,切り上げ,0.1,2,洋室,16,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ602,飾り縁取付,,ケ所,1,880,1150,,,,,,,切り上げ,0.1,2,洋室,16,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ602,飾り縁取付,,ケ所,1,880,1150,,,,,,,切り上げ,0.1,2,洋室,16,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ602,飾り縁取付,,ケ所,1,880,1150,,,,,,,切り上げ,0.1,2,洋室,18,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ602,飾り縁取付,,ケ所,1,880,1150,,,,,,,切り上げ,0.1,2,洋室,18,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ602,飾り縁取付,,ケ所,1,880,1150,,,,,,,切り上げ,0.1,2,洋室,19,,外部建具工事（小計）,,,,孫,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ486,網戸建込調整,,ケ所,1,190,250,,,,,,,切り上げ,0.1,2,洋室,19,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ486,網戸建込調整,,ケ所,1,190,250,,,,,,,切り上げ,0.1,2,洋室,16,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
K06AJ486,網戸建込調整,,ケ所,1,190,250,,,,,,,切り上げ,0.1,2,洋室,18,,外部建具工事（小計）,,,,子,,玄関ドア以外,,,2F,,外部建具工事（小計）
MWH13270,Ｔ型物干金物壁付け５５０,,セット,0.5,5400,7020,,,,,,,切り上げ,0.1,1,,0,,外部附帯工事（小計）,,,,子,,物干金物HS,,,1F,,外部附帯工事（小計）
MWH13270,Ｔ型物干金物壁付け５５０,,セット,0.5,5400,7020,,,,,,,切り上げ,0.1,1,,0,,外部附帯工事（小計）,,,,子,,物干金物HS,,,1F,,外部附帯工事（小計）
K06AA230A,物干金物取付（戸建用）,,ケ所,0.5,550,720,,,,,,,切り上げ,0.1,2,,0,,外部附帯工事（小計）,,,,子,,物干金物HS,,,1F,,外部附帯工事（小計）
K06AA230A,物干金物取付（戸建用）,,ケ所,0.5,550,720,,,,,,,切り上げ,0.1,2,,0,,外部附帯工事（小計）,,,,子,,物干金物HS,,,1F,,外部附帯工事（小計）
MSL07426,物干竿（ステンクラー伸縮竿）,,本,1,1650,2150,,,,,,,切り上げ,0.1,1,,0,,外部附帯工事（小計）,,,,孫,,物干竿,,,1F,,外部附帯工事（小計）
MSL07426,物干竿（ステンクラー伸縮竿）,,本,1,1650,2150,,,,,,,切り上げ,0.1,1,,0,,外部附帯工事（小計）,,,,孫,,物干竿,,,1F,,外部附帯工事（小計）
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,ｽｲｯﾁ,,,1F,,玄関
KAIIRERIBIERA1,３００角リビエラ製玄関タイル 平,,枚,30,368,480,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部床仕上材,,,1F,,玄関
K10AA01601,３００角タイル平貼付工事,,㎡,2.5,3510,4560,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,内部床仕上材,,,1F,,玄関
QPE11512DYN,化粧巾木（幅木５型）,,本,0.5,960,1250,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,巾木,,,1F,,玄関
MSM21542,クロスＤＸ（調湿タイプ）①,,ｍ,6.8,530,690,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部壁仕上材,,,1F,,玄関
MSM17073,クロス下敷カットテープ,,ｍ,6.4,20,30,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部壁仕上材,,,1F,,玄関
MSM02359,クロス接着剤（無希釈）,,セット,0.1,2630,3420,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部壁仕上材,,,1F,,玄関
K14CA0038,壁クロス貼手間（下地共）,,㎡,5.4,340,450,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,内部壁仕上材,,,1F,,玄関
MSM21542,クロスＤＸ（調湿タイプ）①,,ｍ,2.1,530,690,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部天井仕上材,,,1F,,玄関
MSM17073,クロス下敷カットテープ,,ｍ,2.1,20,30,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部天井仕上材,,,1F,,玄関
MSM02359,クロス接着剤（無希釈）,,セット,0.1,2630,3420,,,,,,,切り上げ,0.1,1,玄関,1,,玄関,,,,子,,内部天井仕上材,,,1F,,玄関
K14CA0037,天井クロス貼手間（下地共）,,㎡,1.7,530,690,,,,,,,切り上げ,0.1,2,玄関,1,,玄関,,,,子,,内部天井仕上材,,,1F,,玄関
XSER23005,ダブルコンセント,,セット,1,262,340,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,ｺﾝｾﾝﾄ,,,1F,,SIC
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,ｺﾝｾﾝﾄ,,,1F,,SIC
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,ｺﾝｾﾝﾄ,,,1F,,SIC
K15CA0157,コンセント,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,ｺﾝｾﾝﾄ,,,1F,,SIC
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,ｺﾝｾﾝﾄ,,,1F,,SIC
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,照明現調品,,,1F,,SIC
K15CA0368,電灯配線（器具付）,,ケ所,1,750,980,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,照明現調品,,,1F,,SIC
KAIIRERIBIERA1,３００角リビエラ製玄関タイル 平,,枚,38.4,368,480,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部床仕上材,,,1F,,SIC
K10AA01601,３００角タイル平貼付工事,,㎡,3.2,3510,4560,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,内部床仕上材,,,1F,,SIC
QPE11512DYN,化粧巾木（幅木５型）,,本,1.3,960,1250,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,巾木,,,1F,,SIC
MSM21542,クロスＤＸ（調湿タイプ）①,,ｍ,17.2,530,690,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部壁仕上材,,,1F,,SIC
MSM17073,クロス下敷カットテープ,,ｍ,16.1,20,30,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部壁仕上材,,,1F,,SIC
MSM02359,クロス接着剤（無希釈）,,セット,0.2,2630,3420,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部壁仕上材,,,1F,,SIC
K14CA0038,壁クロス貼手間（下地共）,,㎡,13.7,340,450,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,内部壁仕上材,,,1F,,SIC
MSM21542,クロスＤＸ（調湿タイプ）①,,ｍ,2.4,530,690,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部天井仕上材,,,1F,,SIC
MSM17073,クロス下敷カットテープ,,ｍ,2.4,20,30,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部天井仕上材,,,1F,,SIC
MSM02359,クロス接着剤（無希釈）,,セット,0.1,2630,3420,,,,,,,切り上げ,0.1,1,SIC,2,,SIC,,,,子,,内部天井仕上材,,,1F,,SIC
K14CA0037,天井クロス貼手間（下地共）,,㎡,2,530,690,,,,,,,切り上げ,0.1,2,SIC,2,,SIC,,,,子,,内部天井仕上材,,,1F,,SIC
XSER23009,アースターミナル付接地ダブルコンセント,,ケ,1,533,700,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｺﾝｾﾝﾄ,,,1F,,ﾎｰﾙ
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｺﾝｾﾝﾄ,,,1F,,ﾎｰﾙ
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｺﾝｾﾝﾄ,,,1F,,ﾎｰﾙ
K15CA0150,アース付シングルコンセント,,ケ所,1,500,650,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｺﾝｾﾝﾄ,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｺﾝｾﾝﾄ,,,1F,,ﾎｰﾙ
MSM24479,かってにスイッチ壁付用２線片切,,ケ,1,5540,7200,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
XSER23097,シングルスイッチほたる片切,,ケ,1,522,680,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
MSM21495,スイッチプレート１連用,,セット,1,68,90,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
MSM21524,はさみ金具1連,,セット,1,50,70,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
MSM21530X1,固定ネジサラネジL26※１本当り,,本,2,5,10,,,,,,,切り上げ,0.1,1,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
K15CA0156,スイッチ,,ケ所,1,460,600,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,ｽｲｯﾁ,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
K15CA0159,マルチ配線用ケーブル,,本,1,780,1020,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
K15CA0368,電灯配線（器具付）,,ケ所,1,750,980,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
K15CA0368,電灯配線（器具付）,,ケ所,1,750,980,,,,,,,切り上げ,0.1,2,ﾎｰﾙ,3,,ﾎｰﾙ,,,,子,,照明現調品,,,1F,,ﾎｰﾙ
